femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
V geht zum Treffpunkt.,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Trinken] Ich freue mich so, dich zu sehen.",,1734733486045460,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Trinken] Ich bin froh, dass du deine Meinung nicht geändert hast.","[Trinken] Ich bin froh, dass du deine Meinung nicht geändert hast.",1734733573905763,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Sie setzen sich an die Bar und trinken etwas (wie in der Mod „Lizzie's Braindances: Places of Night City > Bar in Downtown“).,,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Warten Sie auf Panam],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam kommt am Treffpunkt in der Nähe der Bar an ...,,1734885474362720,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Trinken],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Trinken] Also, was machst du heutzutage?",,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Also, was machst du heutzutage?",,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ein Dialog, wenn es möglich ist, V und Panam dazu zu bringen, in eine diskrete Ecke zu gehen und V ihr Aguilars Verhaltensprägung zeigen zu lassen ...",,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V und Panam küssen sich,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Panam nimmt mehrere Schlucke, bevor er antwortet. Wenn sie dann spricht, wird sie immer wütender ...",,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
UND/ODER,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V erhält eine Nachricht von Panam,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Hallo V, wie geht es dir? Weißt du was, gestern habe ich an dich gedacht!",,1735040679408670,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ich denke nur einmal am Tag an dich, aber es dauert 24 Stunden!",,1735040846812203,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Oh, du bist süß! <3 <3 <3",,1735056244885189,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Saul wollte, dass wir alles zerstören, was uns mit diesem Kerl in Verbindung bringen könnte ... Aber hey, ich habe den Pass behalten und an dich gedacht, nur für den Fall ...",,1735056295732630,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ich weiß nicht, was ich damit machen könnte und dann... Konpeki ist nicht die beste Erinnerung für mich...",,1735056326435636,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ok, das ist dumm! Ich werde den Pass zerstören, Saul hat recht.",,1735056379716323,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Keine Wartezeit! Wie funktioniert das Ding?,,1735056393052657,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Nun, Sie gehen auf ihre Website, geben einen Namen ein und schon ist die Reservierung abgeschlossen …",,1735056411224054,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ok... vielleicht habe ich eine Idee! Möchten Sie davon profitieren?,,1735056425988329,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Wie so?,,1735056446949704,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Wir gehen beide! Wir verbringen einen stilvollen Abend im Konpeki. Das könnte schön sein, was meint ihr?",,1735056484397280,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Du bist verrückt! In Anbetracht Ihrer Geschichte müssen Sie sich hier wohl gefühlt haben!,,1735056494932607,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ja, sicher, es ist ein Problem ... Lass mich darüber nachdenken!",,1735056506194362,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Der Pass ist 48 Stunden lang gültig... Sag es mir schnell, denn danach ist er tot.",,1735056519235413,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Panam, ich habe vielleicht eine Lösung für den Konpeki-Plan. Könnten Sie versuchen, einen Namen zu registrieren?",,1735058535475344,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Wenn Sie möchten ... Welchen Namen soll ich verwenden?,,1735058563071521,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Versuchen Sie es mit Aguilar Nubiola,,1735058593043166,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Versuchen Sie es mit Anders Hellman,,1735058645656583,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Clever! Ich versuche es, warte...",,1735060913044546,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Es wurde zur Aufnahme freigegeben. Es sollte gut sein!,,1735060935091683,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Was sagen Sie also? Feiern wir es heute Abend im Konpeki?,,1735060982596671,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ich weiß es nicht wirklich... Konpeki ist nicht mein Stil!,,1735061008088637,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ich werde meinen Teil zur Dekoration beitragen ... Ich habe nicht einmal ein verdammt passendes Outfit!,,1735061024059582,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Das ist kein Problem. Du hast das Konpeki gemanagt, also lass mich auf unsere Kleidung aufpassen. Treffen wir uns im Zentrum, wir gehen einkaufen!",,1735061039903586,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Es ist immer noch gefährlich, du könntest erkannt werden! Und verdammt, wir reden hier über Arasaka!",,1735061055747094,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Schauen wir, wir treffen uns in dieser Bar in der Innenstadt und reden darüber, okay?",,1735061077597131,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
