femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
V va al punto d'incontro.,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bevi] Sono così felice di vederti.,,1734733486045460,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bevi] Sono felice che tu non abbia cambiato idea.,[Bere] Sono felice che tu non abbia cambiato idea.,1734733573905763,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Vanno a sedersi al bar e bere qualcosa (come nel mod Lizzie's Braindances: Places of Night City > Bar in Downtown),,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Aspetta Panam],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam arriva al punto d'incontro vicino al bar...,,1734885474362720,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bere],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Bere] Allora, cosa fai in questi giorni?",,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Allora, cosa fai in questi giorni?",,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Un dialogo, se fosse possibile portare V e Panam in un angolo discreto e chiedere a V di mostrarle l'impronta comportamentale di Aguilar...",,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V e Panam si baciano,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam beve diversi sorsi prima di rispondere. Poi quando parla si arrabbia sempre di più...,,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
E/O,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V riceve un messaggio da Panam,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ciao V, come stai? Sai una cosa, ieri ti ho pensato!",,1735040679408670,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ti penso solo una volta al giorno ma dura 24 ore!,,1735040846812203,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Oh sei carino! <3 <3 <3,,1735056244885189,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Saul voleva che distruggessimo tutto ciò che poteva collegarci a quest'uomo... Ma ehi, ho tenuto il pass pensando a te per ogni evenienza...",,1735056295732630,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Non so cosa potrei farne e poi... Konpeki non è il miglior ricordo per me...,,1735056326435636,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ok, è stupido! Distruggerò il passo, Saul ha ragione.",,1735056379716323,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
No aspetta! Come funziona questa cosa?,,1735056393052657,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Bene, vai sul loro sito, inserisci un nome e la prenotazione è fatta...",,1735056411224054,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
