femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
V는 미팅 장소로 이동합니다.,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[마신다] 만나서 너무 기뻐요.,,1734733486045460,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[마십니다] 마음이 바뀌지 않아서 다행이에요.,[음주] 마음이 바뀌지 않아서 다행이에요.,1734733573905763,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
그들은 바에 앉아서 술을 마십니다(모드 Lizzie's Braindances: Places of Night City > Bar in Downtown에서처럼).,,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[파남을 기다려요],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
파남은 바 근처 미팅 장소에 도착합니다...,,1734885474362720,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[마시다],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[술] 그럼 요즘 뭐하세요?,,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
그럼 요즘 뭐하세요?,,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"대화, V와 파남을 은밀한 구석으로 데려가 V가 아길라르의 행동 각인을 보여주게 할 수 있다면...",,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
뷔와 파남의 키스,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam은 대답하기 전에 몇 모금을 마셨습니다. 그러다가 말을 하면 점점 더 화를 내는데...,,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
그리고/또는,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V는 파남으로부터 메시지를 받습니다.,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"V님, 안녕하세요? 그거 알아요, 어제 당신 생각이 났어요!",,1735040679408670,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
하루에 한 번만 당신 생각이 나지만 24시간 동안 지속됩니다!,,1735040846812203,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
아 귀여워! <3 <3 <3,,1735056244885189,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
사울은 우리가 이 사람과 연결될 수 있는 모든 것을 파괴하기를 원했습니다... 하지만 혹시라도 당신을 생각하면서 패스를 보관해 두었습니다...,,1735056295732630,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
그걸로 뭘 할 수 있을지 모르겠는데... 콘페키는 나한테는 최고의 추억이 아니야...,,1735056326435636,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
알았어 그건 바보야! 나는 고개를 파괴할 것이다. 사울의 말이 옳다.,,1735056379716323,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
아니 잠깐! 이건 어떻게 작동하나요?,,1735056393052657,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"글쎄, 당신은 그들의 사이트에 가서 이름을 입력하고 예약이 이루어집니다…",,1735056411224054,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
알았어... 어쩌면 나한테 좋은 생각이 있을 것 같아! 그것을 활용하고 싶습니까?,,1735056425988329,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
어떻게요?,,1735056446949704,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"우리 둘 다 갈 거예요! 우리는 콘페키에서 품격 있는 저녁을 보냅니다. 이거 좋을 수도 있는데, 어떻게 생각하세요?",,1735056484397280,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"당신은 미쳤어요! 당신의 역사를 감안할 때, 당신은 그곳에서 건배해야 합니다!",,1735056494932607,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"응, 확실히 문제가 있어… 생각해 볼게!",,1735056506194362,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
패스는 48시간 동안 유효합니다... 그 이후에는 소멸되니까 빨리 말씀해주세요.,,1735056519235413,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam 나는 Konpeki 계획에 대한 해결책을 가지고 있을 수 있습니다. 이름을 등록해 보시겠어요?,,1735058535475344,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
원한다면… 어떤 이름을 사용해야 할까요?,,1735058563071521,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Aguilar Nubiola를 사용해보십시오,,1735058593043166,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
앤더스 헬만(Anders Hellman)과 함께 해보세요,,1735058645656583,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"영리한! 노력 중이야, 잠깐...",,1735060913044546,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
녹음을 위해 통과되었습니다. 좋을 것입니다!,,1735060935091683,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
그래서 당신은 무엇을 말합니까? 오늘 저녁에 콘페키에서 파티하나요?,,1735060982596671,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
잘 모르겠어요... 콘페키는 내 스타일이 아니에요!,,1735061008088637,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
