femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
V vai ao ponto de encontro.,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bebendo] Estou tão feliz em ver você.,,"1,73473E+15",ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Beba] Estou feliz que você não tenha mudado de ideia.,[Bebendo] Estou feliz que você não tenha mudado de ideia.,1734733573905763,ACTION,ACTION,D:/_CyberPunk-Creation/OutilsDialogues/Principal-Playlist/data/projet/Rendez-vous_files/{}/Rendez-vousDIC.csv
Eles vão ao bar e tomam um drink (como no mod Lizzie's Braindances: Places of Night City > Bar in Downtown),,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Espere pelo Panamá],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam chega ao ponto de encontro próximo ao bar...,,"1,73489E+15",COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bebida],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Bebendo] Então, o que você está fazendo atualmente?",,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Então, o que você está fazendo atualmente?",,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Um diálogo, se for possível fazer com que V e Panam vão para um canto discreto e que V lhe mostre a marca comportamental de Aguilar...",,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V e Panam se beijam,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam toma vários goles antes de responder. Aí quando ela fala ela fica cada vez mais brava...,,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
E/OU,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V recebe uma mensagem do Panamá,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Olá V, como você está? Quer saber, ontem pensei em você!",,"1,73504E+15",MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Só penso em você uma vez por dia, mas isso dura 24 horas!",,1735040846812203,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ah, você é fofo! <3 <3 <3",,1735056244885189,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Saul queria que destruíssemos tudo que pudesse nos conectar com esse cara... Mas ei, eu guardei o passe pensando em você, só para garantir...",,"1,73506E+15",MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Não sei o que posso fazer com isso e então... Konpeki não é a melhor lembrança para mim...,,1735056326435636,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ok, isso é estúpido! Vou fazer o que Saul disse e destruí-lo!",,1735056379716323,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Não, espere! Como isso funciona?",,1735056393052657,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Bom, você vai no site deles e digita um nome e a reserva é feita…",,1735056411224054,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ok… talvez eu tenha uma ideia! Você gostaria de aproveitar isso?,,1735056425988329,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Como assim?,,1735056446949704,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Nós dois vamos! Passamos uma noite elegante no Konpeki. Isso pode ser legal, o que você acha?",,"1,73506E+15",MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Você é louco! Dada a sua história, você deve estar brindado aí!",,1735056494932607,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Sim, com certeza, é um problema… Deixe-me pensar sobre isso!",,1735056506194362,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"O passe é válido por 48 horas… Me diga rápido, porque depois disso ele morre.",,1735056519235413,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam posso ter uma solução para o plano Konpeki. Você poderia tentar registrar um nome?,,1735058535475344,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Se você quiser… Que nome devo usar?,,1735058563071521,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Experimente com Aguilar Nubiola,,1735058593043166,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Experimente com Anders Hellman,,1735058645656583,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Esperto! Estou tentando, espere...",,1735060913044546,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Foi aprovado para gravação. Deveria ser bom!,,1735060935091683,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Então o que você diria? Vamos ter isso esta noite no Konpeki?,,1735060982596671,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Não sei bem... Konpeki não é meu estilo!,,1735061008088637,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Vou fazer a minha parte na decoração... não tenho nem roupa adequada pra caralho!,,1735061024059582,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Isso não é um problema. Você administrou o Konpeki, então deixe-me cuidar de nossas roupas. Vamos nos encontrar no centro, vamos às compras!",,1735061039903586,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ainda é perigoso, você pode ser reconhecido... É Arasaka mesmo assim...",,1735061055747094,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Olha, vamos nos encontrar nesse bar no centro da cidade e conversar sobre isso, ok?",,1735061077597131,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Se você quiser…,,1735061089758378,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Diga] Então, o que você está fazendo atualmente?",,1735142209504692,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bebendo] Achei que você tivesse se reconciliado com Saulo…,,1735142588439618,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
V se senta na cama. Panam poderia sentar-se em frente a V. (como em Lizzie's Braindances: DollHouse mod),,1735146101955345,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Depois de um tempo sem dizer nada...,,1735146120956956,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Panam vem se sentar na cama, ao lado de V. (Como no mod Lizzie's Braindances: DollHouse)",,1735146139634145,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Dizendo sua última frase, Panam se abaixa e se inclina na cama (como em Lizzie's Braindances: DollHouse mod) ",,1735146177514793,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
