femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
V se rend au point de rendez-vous.,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Boire] Je suis trop content de te voir.,,1734733486045460,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Boire] Je suis contente que t'aies pas changé d'avis.,[Boire] Je suis content que t'aies pas changé d'avis.,1734733573905763,ACTION,ACTION,D:/_CyberPunk-Creation/OutilsDialogues/Principal-Playlist/data/projet/Rendez-vous_files/{}/Rendez-vousDIC.csv
Ils vont s'installer au bar et prenent un verre,,1734736588881117,COMMENT,COMMENT,projet_files/{}/projetDIC.csv
[Attendre Panam],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam arrive au point de rendez-vous près du bar...,,1734885474362720,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Boire],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Boire] Alors, tu fais quoi ces temps-ci ?",,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Alors, tu fais quoi ces temps-ci ?",,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Cas ou V s'affich e devant panam avec le masque d'Aguilar,,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V et Panam s'embrassent,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam boit. Pendant qu'elle parle et s'énerve de plus en plus ...,,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
ET / OU,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V recoit un message de Panam,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Salut V, comment ça va ? Tu sais quoi, hier j'ai pensé à toi !",,1735040679408670,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Moi, je ne pense à toi qu’une seule fois par jour mais cela dure 24 heures !",,1735040846812203,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Oh c'est mignon ! <3 … Non c'est pour autre chose. Hier on a choppé un gars dans les Badlands et on a trouvé sur lui un pass pour une nuit dans une suite du Konpeki Plaza. Tu m'avais parlé du Konpeki …,,1735056244885189,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Saul voulait qu'on détruise tout ce qui pourrait nous relier à ce gars… Mais bon j'ai gardé le pass en pensant à toi au cas où… ,,1735056295732630,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Je sais pas ce que je pourrais en faire et puis… Le Konpeki, c'est pas les meilleurs souvenirs pour moi…",,1735056326435636,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Bon ok c'est débile! Je vais faire ce que Saul a dit et le détruire !,,1735056379716323,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Non attends! Ça marche comment ce truc?,,1735056393052657,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ben tu vas sur leur site et tu rentres un nom et voilà la réservation est faite…,,1735056411224054,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ok… j’ai peut-être une idée ! Ça te dirait d'en profiter ? ,,1735056425988329,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Comment ça?,,1735056446949704,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"On y va tous les deux! On passe une soirée grande classe au Konpeki. Ça pourrait être sympa, t’en penses quoi?",,1735056484397280,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"T’es fou! Vu ton passif, tu dois être grillé là bas!",,1735056494932607,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Ouais c’est sûr, c’est un problème… Laisse-moi réfléchir à ça!",,1735056506194362,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Le pass est valable 48h … Dis moi vite, car après c’est mort.",,1735056519235413,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
